timestamp,price_btc,market_cap_btc,total_volume_btc,price_yfi,market_cap_yfi,total_volume_yfi,price_mkr,market_cap_mkr,total_volume_mkr,price_enj,market_cap_enj,total_volume_enj
2023-12-02,38688.2587417907,756249390093.028,24470176251.5665,8446.28866006466,279978697.195889,130112707.538173,1546.13396893358,1418785243.95493,64568531.0807107,0.293924583762288,293130234.974245,20400732.5620046
2023-12-03,39481.6664160629,771834682369.278,14892418344.3286,8669.17159369969,288076008.319478,108583257.714822,1540.71769515188,1414335317.54468,63559657.6506218,0.296234316218048,295460060.021076,21089141.558566
2023-12-04,39960.2754204105,782845232813.069,14107800648.6293,8671.55295014081,289474451.125262,62773159.7344722,1515.33031690861,1394156985.45051,71454738.0763231,0.292833111986393,292305614.332551,23429791.6187705
2023-12-05,41974.3317725433,820527379429.342,40273974905.3823,8710.40863820721,289259345.748415,198279395.061214,1489.61344647492,1367721103.84797,101616272.160953,0.308303026307195,309095709.933123,32219586.2307049
2023-12-06,44105.9447725994,863171503830.323,37740677039.99,8617.39150686697,285374369.777605,142572551.985473,1484.32856688817,1362330111.46177,68330726.5378751,0.328281657943755,328056973.321585,40293496.6354265
2023-12-07,43788.2888082523,857037901744.541,30306637687.6012,8427.23822376994,280027943.385903,101447504.611422,1424.90664196249,1311094841.83762,65089900.553665,0.3266736899016,326818225.26208,42777498.5642831
2023-12-08,43270.1195597075,848245522795.333,27712048105.0234,8494.29076150121,282392739.631477,59820467.6074665,1449.02896280328,1331696684.3602,76307292.9107886,0.336375407977148,337729508.881133,31684727.5019
2023-12-09,44202.1761094362,863242780337.311,24726661392.9842,9200.31095346272,305664373.691418,96290307.807599,1446.41253350047,1327875907.22257,77092609.9005584,0.349964671708577,349898016.767454,28689281.5822285
2023-12-10,43745.4919918955,855611272269.695,17074228506.0414,9010.23945407727,299485673.569166,74495067.7020699,1430.74580693537,1313714397.41216,84738680.8030586,0.352268897745581,352012474.152783,36950410.6569016
2023-12-11,43757.9599376192,856192504674.193,11865167562.1797,9294.17361850036,308988085.21406,43912184.0912845,1417.05744311043,1300544210.02516,69640133.8222835,0.352321390155374,352056784.401461,32262540.4565126
2023-12-12,41200.9627261017,806178244439.141,39734542163.6617,8451.73929710723,280822413.093489,85151977.1737319,1387.99827150085,1274090486.30187,119850039.607541,0.317690862858804,317783303.013392,44255544.8000978
2023-12-13,41450.8193873774,812055172695.532,24919333990.6271,8444.98442176547,280991341.302928,51389340.4916662,1358.54847736362,1249888069.9228,66249187.3108912,0.329328719675387,329050395.591461,28111238.4492441
2023-12-14,42931.7618260325,840112594142.661,26301358636.1249,8577.35818060709,284313290.554491,69907804.726005,1363.48956553977,1252818570.21543,64365558.4901841,0.336455934166828,335518914.780463,42608042.7100169
2023-12-15,43009.5954563739,841400560142.884,22978695605.4827,8541.65233817714,283578009.587661,46944140.7089989,1362.53798310389,1249656475.36221,66835837.8372509,0.354190221831401,353217518.927123,28614688.1134828
2023-12-16,41992.014187224,821883086852.378,17134765249.0726,8133.08190164915,270566534.048929,41777650.9731947,1310.86019893232,1206861267.17137,66840181.1927876,0.33327672382222,334999609.161123,27990396.7854207
2023-12-17,42247.0678817223,825747211475.383,13524832238.374,8614.65968224982,286418238.086588,49752516.0172863,1327.5737841684,1217614971.24459,63740974.4786216,0.340420162123766,339689761.175399,19116371.5268616
2023-12-18,41410.8196345759,810534011290.708,16536428696.4614,8223.63583469867,273493779.539221,42221966.5331941,1316.03439513733,1208852413.41177,68475088.9976376,0.327160650806701,326718369.234113,19466398.4523654
2023-12-19,42684.1825546834,834757901244.338,26473040426.6081,8209.94042184151,272788427.640193,42902803.400494,1287.61504282995,1183576120.98211,69729781.8794959,0.326548754609861,325541646.885435,32030930.6045364
2023-12-20,42250.2061827975,827483345952.503,23402523667.559,8270.85388970141,274520323.899303,27935812.3313656,1289.37326410374,1184051099.81367,78032127.8773491,0.321424584311963,319831284.242156,19434407.6869228
2023-12-21,43634.1241684964,854173854159.818,28334648885.879,8300.27064308441,275785246.246687,34375001.0221886,1285.63176702663,1180770304.62423,60623579.5924316,0.348122023410838,346792831.897068,23570013.9109517
2023-12-22,43849.6995993962,858312140014.948,21948638202.5834,8374.92243444788,278238167.970656,30919787.9924955,1322.09981309738,1215228597.10439,55534509.0690221,0.359903271536373,360195395.458079,23147898.8244702
2023-12-23,44003.6960216438,861822676200.425,20833936534.6285,8512.99898703645,283032199.021593,29324055.4631797,1390.9220245251,1278592856.14636,73257395.0267176,0.368665237430656,369363523.744666,26623003.6951425
2023-12-24,43752.0308847838,856850313226.057,9872050975.65797,8431.89614365221,280179717.403995,21938068.1154678,1383.103655154,1272139513.98004,62751316.595097,0.381546602151721,382590360.586818,24494760.8163098
2023-12-25,43034.9710630915,845029028630.442,18313974069.8228,8308.8702330282,275884866.016013,29701712.0693241,1396.73564143807,1283671258.91931,81468796.3154544,0.382271393830814,382264045.526349,30389979.3410781
2023-12-26,43638.2363022009,854524607072.98,18744716867.393,8519.32194557365,283177620.842413,30332575.6240672,1406.24979188886,1293997404.33055,59229588.6285579,0.3957872027679,396145035.931386,33309582.5524778
2023-12-27,42516.4269402825,832471600531.684,20477744539.8723,8144.7839272256,269984806.663059,35024814.1728492,1410.03945294381,1296188811.11177,77002845.2220689,0.406529459225844,406547376.643501,47644074.7605241
2023-12-28,43418.4677750429,849194163327.484,23244754807.444,8384.44462227806,278862267.440965,30628588.4776708,1529.15929874473,1406110488.36656,95267575.3281791,0.409179385248409,408896708.712653,38786447.3532522
2023-12-29,42600.6506331562,836073458797.803,20336573643.8193,8294.46045107551,275946057.684712,47154344.1363837,1557.06765008218,1432988480.96266,149325060.239592,0.387958238989636,389347333.065494,30499404.2336207
2023-12-30,42074.7071561885,822933961870.542,24832397519.0506,8224.40723549064,272900688.234898,25215944.0266757,1543.69906208486,1418868229.99311,76552205.6044588,0.371950494766754,371543313.203476,25045946.6585798
2023-12-31,42220.6114012138,826609156660.512,14727224645.4177,8207.09575029004,272786713.526132,14895592.4651432,1598.66366111072,1469586460.03645,73937309.3823926,0.368106162331374,368223337.707758,15734350.0855624
2024-01-01,42208.2021761865,827596236151.196,14183728910.1698,8066.134106947,268141903.161947,17829768.3289927,1694.63627039869,1558856036.31458,99712661.723562,0.378590214521879,378569424.085221,23250302.2704859
2024-01-02,44168.6811868747,863804922701.813,16958999497.5836,8277.58459372314,274874641.562192,20618847.6518729,1655.94571568493,1523889756.33042,99584747.0717544,0.386882251697305,386498563.195262,17824872.3874655
2024-01-03,44994.6738868924,878395004792.841,39089952715.5428,8183.02070125537,271819649.144931,24716841.3301988,1833.43765612339,1688886445.52574,205485882.281961,0.378639106422671,377729912.200212,23015418.1405398
